Date,1301.T,1305.T,1306.T,1308.T,1309.T,1311.T,1319.T,1320.T,1321.T,1322.T,1325.T,1326.T,1328.T,1329.T,1330.T,1332.T,1333.T,1343.T,1345.T,1346.T,1348.T,1349.T,1356.T,1357.T,1358.T,1360.T,1364.T,1365.T,1366.T,1367.T,1368.T,1369.T,1375.T,1376.T,1377.T,1379.T,1380.T,1381.T,1382.T,1383.T,1384.T
2024-07-03,3918.14404296875,2941.08837890625,2917.5888671875,2869.845947265625,41240.0,1502.7760009765625,464.4234313964844,40908.05859375,40989.03125,7900.0,208.82925415039062,34960.0,9220.0,4081.128662109375,41106.6484375,829.3323364257812,1018.7471923828125,1705.9432373046875,1600.9774169921875,40865.1796875,2872.3876953125,16112.2666015625,346.3999938964844,132.0,56921.25390625,324.1000061035156,26479.138671875,47570.0,345.0,41790.0,502.0,39676.39453125,993.0952758789062,1387.016357421875,3360.810546875,1811.1873779296875,1032.814453125,2853.9853515625,2181.765380859375,2949.4130859375,954.0078735351562
2024-07-04,3961.78662109375,2967.886474609375,2938.654541015625,2899.510986328125,41590.0,1521.6392822265625,464.4234313964844,41217.89453125,41327.78515625,7920.0,209.01083374023438,35220.0,9293.0,4111.97314453125,41387.26953125,816.6912231445312,1005.7229614257812,1710.5587158203125,1606.9493408203125,41203.8671875,2899.17041015625,16159.572265625,340.1000061035156,130.0,57815.15234375,318.79998779296875,26771.99609375,48290.0,338.0,42530.0,493.0,39976.97265625,1005.8777465820312,1392.815673828125,3360.810546875,1796.6591796875,1033.8046875,2878.07373046875,2184.69140625,2978.2216796875,954.0078735351562
2024-07-05,3922.9931640625,2956.4013671875,2915.673828125,2830.61181640625,40730.0,1513.4168701171875,465.3751220703125,41246.9375,40727.7109375,7801.0,203.4723358154297,35160.0,9288.0,4106.189453125,40767.9609375,804.4332275390625,997.4636840820312,1704.5584716796875,1589.9517822265625,41155.484375,2882.909423828125,16154.841796875,344.0,131.0,57705.8984375,319.79998779296875,26747.59375,48190.0,340.0,42030.0,497.0,39695.78515625,996.0451049804688,1382.183349609375,3351.111083984375,1779.225341796875,1035.78515625,2900.235107421875,2181.765380859375,2978.2216796875,951.1458129882812
2024-07-08,3942.389892578125,2936.302978515625,2906.0986328125,2874.52001953125,40740.0,1509.0638427734375,464.6138000488281,41169.484375,41284.65625,7724.0,213.0953826904297,35430.0,9351.0,4104.26171875,41361.3671875,800.028076171875,992.0633544921875,1707.327880859375,1602.6678466796875,41097.42578125,2871.431640625,16225.80078125,346.79998779296875,131.0,57407.9296875,320.20001220703125,26552.35546875,48120.0,341.0,41690.0,503.0,39985.7890625,997.0283203125,1375.4176025390625,3331.71240234375,1762.760009765625,1033.8046875,2879.037353515625,2213.95068359375,2985.175537109375,951.1458129882812
2024-07-09,3937.540771484375,2909.5048828125,2877.37255859375,2898.913330078125,41200.0,1534.698486328125,462.2345886230469,41401.859375,42099.9375,7730.0,212.7150115966797,35180.0,9298.0,4181.37353515625,42157.15625,806.6358032226562,991.1103515625,1710.0972900390625,1606.8294677734375,41890.92578125,2898.213623046875,16112.2666015625,340.70001220703125,127.0,59672.46875,307.79998779296875,26806.1640625,50010.0,327.0,42450.0,494.0,40747.42578125,995.0618286132812,1391.84912109375,3341.411865234375,1763.728515625,1024.892578125,2879.037353515625,2213.95068359375,2980.20849609375,951.1458129882812
2024-07-10,3898.7470703125,2979.40185546875,2952.453369140625,2921.355224609375,41500.0,1557.4312744140625,480.79925537109375,42114.24609375,42355.32421875,7870.0,216.3284149169922,35410.0,9340.0,4205.470703125,42412.59375,809.8919067382812,1003.8169555664062,1707.78955078125,1603.592529296875,42142.515625,2911.604736328125,16282.56640625,337.0,124.0,60510.875,304.1000061035156,26879.37890625,50560.0,322.0,42820.0,488.0,40981.7734375,994.07861328125,1426.6453857421875,3365.66015625,1766.6341552734375,1024.892578125,2854.948974609375,2174.938232421875,2985.175537109375,952.099853515625
2024-07-11,3922.9931640625,3002.8310546875,2971.980224609375,2946.724365234375,41780.0,1533.24755859375,480.79925537109375,42605.546875,42738.41015625,7950.0,215.4726104736328,35650.0,9410.0,4248.84619140625,42805.57421875,811.998779296875,1010.4879760742188,1715.6361083984375,1610.0662841796875,42519.9140625,2931.69140625,16381.9091796875,332.29998779296875,122.0,61785.41796875,298.5,27108.78125,51450.0,317.0,42400.0,481.0,41343.0625,1001.9446411132812,1373.4844970703125,3365.66015625,1777.2882080078125,1029.84375,2853.02197265625,2186.64208984375,2980.20849609375,951.1458129882812
2024-07-12,3903.596435546875,2965.73486328125,2935.855712890625,2896.9619140625,41800.0,1511.9658203125,472.0574645996094,41554.1640625,41707.03125,7821.0,213.57083129882812,35470.0,9347.0,4140.89013671875,41754.34765625,830.2899780273438,1012.393798828125,1730.8675537109375,1626.2503662109375,41126.45703125,2862.82275390625,16135.919921875,340.6000061035156,128.0,58778.296875,313.29998779296875,26679.2578125,48930.0,333.0,42410.0,494.0,40347.078125,1002.927978515625,1374.450927734375,3433.55517578125,1793.75341796875,1032.814453125,2853.9853515625,2177.8642578125,2980.20849609375,952.099853515625
2024-07-16,3908.445556640625,2974.520751953125,2940.7373046875,2921.355224609375,41700.0,1532.118896484375,473.9029235839844,41632.76953125,41756.14453125,7880.0,214.141357421875,35730.0,9436.0,4149.56494140625,41803.47265625,831.439208984375,1015.8881225585938,1732.25244140625,1624.86279296875,41548.96875,2905.854736328125,16083.8828125,338.20001220703125,128.0,58648.8515625,312.5,26825.689453125,49080.0,331.0,42690.0,491.0,40425.1953125,998.9949340820312,1372.517822265625,3399.607666015625,1785.03662109375,1029.84375,2855.912353515625,2167.1357421875,2990.142578125,953.0538330078125
2024-07-17,3952.088134765625,2986.2353515625,2953.4296875,2922.3310546875,41600.0,1519.8304443359375,474.97137451171875,41455.90234375,41579.3359375,7890.0,213.00027465820312,36060.0,9525.0,4132.21484375,41656.1015625,839.2919921875,1025.41796875,1736.406494140625,1631.3365478515625,41412.359375,2915.524658203125,16064.9599609375,335.5,129.0,58439.74609375,315.0,26908.6640625,48740.0,333.0,43020.0,487.0,40268.9609375,996.0451049804688,1381.2169189453125,3423.85595703125,1801.501953125,1029.84375,2856.8759765625,2137.87646484375,3019.944580078125,954.0078735351562
2024-07-18,3956.9375,2937.424560546875,2904.61279296875,2873.544189453125,41490.0,1499.677490234375,475.8455505371094,40453.65234375,40616.71484375,7879.0,211.28866577148438,35600.0,9456.0,4034.861572265625,40634.34765625,864.9572143554688,1062.2669677734375,1740.560546875,1635.03564453125,40407.30078125,2869.1083984375,15894.662109375,346.79998779296875,134.0,55482.41015625,330.0,26518.189453125,46360.0,351.0,41590.0,503.0,39272.98046875,992.112060546875,1369.6181640625,3423.85595703125,1793.75341796875,1029.84375,2862.6572265625,2159.333251953125,3024.91162109375,952.099853515625
2024-07-19,3966.6357421875,2928.638671875,2882.156982421875,2848.175048828125,41730.0,1482.4737548828125,469.1435241699219,40512.60546875,40518.48828125,7920.0,208.5310821533203,35340.0,9355.0,4038.717041015625,40742.41796875,850.9754638671875,1066.396728515625,1730.4061279296875,1632.26123046875,40260.9296875,2868.624755859375,15785.8603515625,347.6000061035156,135.0,55104.03125,330.5,26410.806640625,46260.0,352.0,41490.0,505.0,39214.390625,985.229248046875,1368.6517333984375,3433.55517578125,1800.5333251953125,1036.775390625,2857.839599609375,2146.654296875,3019.944580078125,955.9158935546875
2024-07-22,3932.69140625,2895.935546875,2864.094482421875,2827.6845703125,41000.0,1469.2022705078125,465.35540771484375,39942.69921875,40047.0,7900.0,207.104736328125,34920.0,9234.0,3981.847412109375,40064.5234375,861.701171875,1066.078857421875,1715.1746826171875,1610.990966796875,39831.5859375,2828.494140625,16039.435546875,356.3999938964844,138.0,53819.53125,339.0,26093.544921875,45040.0,360.0,40410.0,517.0,38745.6953125,982.2794189453125,1364.7852783203125,3428.70556640625,1807.313232421875,1035.78515625,2858.802978515625,2184.69140625,3024.91162109375,954.9618530273438
2024-07-23,3927.84228515625,2900.816650390625,2873.369873046875,2833.5390625,40830.0,1469.6937255859375,482.6447448730469,39962.3515625,40076.46875,7774.0,206.72438049316406,34610.0,9140.0,3979.919677734375,40133.296875,870.5116577148438,1074.9736328125,1717.020751953125,1610.0662841796875,39899.89453125,2835.26318359375,15972.1611328125,355.3999938964844,139.0,54008.72265625,338.70001220703125,26161.87890625,45120.0,359.0,40550.0,515.0,38774.98828125,996.0451049804688,1367.68505859375,3448.104248046875,1831.5269775390625,1026.873046875,2858.802978515625,2181.765380859375,3049.746826171875,954.0078735351562
2024-07-24,3869.652099609375,2884.709228515625,2828.458251953125,2793.53369140625,40240.0,1460.8460693359375,482.6447448730469,39490.703125,39585.3359375,7548.0,201.96990966796875,34570.0,9122.0,3935.58056640625,39622.421875,845.8040161132812,1050.8310546875,1710.0972900390625,1604.517578125,39372.96875,2794.64892578125,15664.6357421875,365.5,142.0,52833.75390625,346.79998779296875,25771.404296875,44010.0,367.0,39350.0,530.0,38316.0546875,983.2626953125,1351.2535400390625,3380.209228515625,1823.778564453125,1026.873046875,2847.24072265625,2121.29638671875,3059.6806640625,949.2378540039062
