Date,1301.T,130A.T,131A.T,132A.T,1332.T,1333.T,1375.T,1376.T,1377.T,1379.T,1380.T,1381.T,1382.T,1383.T,1384.T,1401.T,1407.T,1414.T,1417.T,1418.T,1419.T,1420.T,1429.T,1430.T,1431.T,1432.T,1433.T,1434.T,1435.T,1436.T,1438.T,1443.T,1444.T,1445.T,1446.T,1447.T,1450.T,1452.T
2024-05-09,3472.0185546875,1403.0,1717.0,220.0,913.3189697265625,1036.5362548828125,974.413330078125,1377.8673095703125,3521.871337890625,1740.4832763671875,1024.892578125,3034.637939453125,2104.88037109375,2880.868408203125,977.8580322265625,713.3128051757812,2626.80712890625,1424.0869140625,1886.22021484375,193.5218963623047,4046.785888671875,708.8973999023438,861.9874267578125,771.1448974609375,734.4046020507812,174.0,907.9705810546875,829.8670654296875,154.0792694091797,1660.011962890625,2002.068115234375,215.788330078125,2758.0,2900.0,583.1692504882812,277.27374267578125,1000.2491455078125,18530.0
2024-05-10,3675.6845703125,1185.0,1717.0,220.0,923.7574462890625,1069.5733642578125,960.6476440429688,1370.2548828125,3512.2880859375,1738.546142578125,1020.931640625,2992.6201171875,2117.284423828125,2884.842041015625,973.0880126953125,707.4739379882812,2572.59912109375,1436.2484130859375,1890.987060546875,192.6259765625,4046.785888671875,705.0341796875,872.1068115234375,770.226806640625,733.420166015625,174.0,907.0218505859375,847.5040893554688,154.0792694091797,1929.5526123046875,2007.9136962890625,219.7659912109375,2772.0,2900.0,581.2122802734375,274.32403564453125,1006.4946899414062,18530.0
2024-05-13,3646.58935546875,1185.0,1717.0,220.0,904.9874267578125,1038.4422607421875,965.5639038085938,1374.06103515625,3526.6630859375,1755.9801025390625,1028.853515625,2894.57763671875,2123.00927734375,2813.31689453125,976.904052734375,706.5007934570312,2572.59912109375,1455.660400390625,1843.319091796875,194.41783142089844,4074.12890625,714.6921997070312,856.4677734375,770.226806640625,710.777587890625,174.0,904.1754760742188,888.3475952148438,157.00482177734375,1846.99951171875,1899.7728271484375,217.77716064453125,2751.0,2900.0,581.2122802734375,276.2904968261719,1066.067626953125,18530.0
2024-05-14,3646.58935546875,1194.0,1717.0,220.0,880.5670166015625,1021.6060180664062,962.6141967773438,1373.1094970703125,3531.454833984375,1761.7913818359375,1029.84375,2927.258544921875,2133.5048828125,2785.50146484375,959.73193359375,709.4202270507812,2609.35009765625,1456.8297119140625,1841.412353515625,195.3137664794922,4092.358154296875,712.7606201171875,845.428466796875,780.3251953125,719.6377563476562,174.0,910.8169555664062,904.1280517578125,165.781494140625,1789.3118896484375,1968.944091796875,218.77157592773438,2750.0,2900.0,583.1692504882812,279.240234375,1060.302490234375,18530.0
2024-05-15,3627.192626953125,1130.0,1717.0,220.0,885.7384033203125,1018.7471313476562,966.5473022460938,1366.448486328125,3502.70458984375,1755.9801025390625,1034.794921875,2950.601806640625,2093.43017578125,2784.508056640625,952.099853515625,720.124755859375,2657.127197265625,1451.918212890625,1807.091552734375,193.5218963623047,4142.4873046875,709.8632202148438,833.4691772460938,769.3087768554688,716.6844482421875,174.0,902.2779541015625,932.9042358398438,163.8311004638672,1790.3065185546875,1978.6864013671875,216.78274536132812,2709.0,2900.0,583.1692504882812,281.2066955566406,1037.722412109375,18530.0
2024-05-16,3593.248291015625,1110.0,1717.0,220.0,877.694091796875,1015.2528686523438,961.6309814453125,1358.8360595703125,3449.996337890625,1770.5084228515625,1018.951171875,2945.93310546875,2144.000732421875,2853.052978515625,949.2378540039062,708.4470825195312,2665.396240234375,1418.4736328125,1762.283447265625,192.6259765625,4124.25830078125,702.1367797851562,816.9102172851562,771.1448974609375,711.7621459960938,174.0,904.1754760742188,941.2586059570312,158.9552001953125,1758.4788818359375,2011.810791015625,217.77716064453125,2699.0,2900.0,582.1907348632812,291.03912353515625,1034.3594970703125,18530.0
2024-05-17,3617.494384765625,1080.0,1717.0,220.0,881.1416625976562,1015.2528686523438,971.4635620117188,1360.7392578125,3406.871337890625,1773.4139404296875,1019.94140625,2969.276611328125,2142.092529296875,2856.033203125,954.9618530273438,720.124755859375,2651.614501953125,1441.627685546875,1757.993408203125,195.3137664794922,4151.6015625,704.0684204101562,849.1082153320312,757.3743896484375,717.6688842773438,174.0,905.1243286132812,924.5498657226562,165.781494140625,1754.5003662109375,1952.3818359375,218.77157592773438,2699.0,2900.0,585.1261596679688,304.8044738769531,1054.537353515625,18530.0
2024-05-20,3636.89111328125,1113.0,1717.0,220.0,880.0882568359375,1020.9707641601562,964.5806884765625,1368.351806640625,3402.07958984375,1782.130859375,1015.98046875,2950.601806640625,2194.571533203125,2906.69677734375,956.869873046875,729.856201171875,2653.451904296875,1442.5631103515625,1766.5736083984375,196.20970153808594,4151.6015625,709.8632202148438,846.348388671875,752.7843017578125,719.6377563476562,174.0,923.15087890625,980.2456665039062,170.65740966796875,1822.1341552734375,1947.5106201171875,220.76040649414062,2736.0,2900.0,585.1261596679688,309.7206726074219,1049.733154296875,18530.0
2024-05-21,3627.192626953125,1131.0,1717.0,220.0,879.9925537109375,1033.359619140625,958.6810913085938,1366.448486328125,3392.49609375,1779.225341796875,1020.931640625,2969.276611328125,2212.700439453125,2847.092529296875,950.1918334960938,737.6412963867188,2729.711181640625,1425.9578857421875,1788.9776611328125,194.41783142089844,4133.37255859375,711.7947998046875,838.0689086914062,754.6203002929688,720.6221923828125,174.0,915.5607299804688,1011.8065795898438,167.7318572998047,1797.268798828125,1981.609130859375,211.81065368652344,2700.0,2900.0,583.1692504882812,300.87152099609375,1055.498291015625,18530.0
2024-05-22,3607.7958984375,1070.0,1717.0,220.0,875.1083984375,1032.40673828125,966.5473022460938,1362.642333984375,3330.204833984375,1788.9107666015625,1016.970703125,2978.61376953125,2248.00439453125,2817.29052734375,948.2838134765625,740.5607299804688,2511.040283203125,1431.5709228515625,1785.6409912109375,191.7300262451172,4133.37255859375,709.8632202148438,827.0296020507812,751.8662109375,713.7310180664062,174.0,917.458251953125,1029.443603515625,168.70704650878906,1791.3011474609375,1947.5106201171875,210.8162384033203,2700.0,2900.0,583.1692504882812,300.87152099609375,1056.9395751953125,18530.0
